station_name,start_count,start_member_count,start_casual_count,end_count,end_member_count,end_casual_count,avg_lat,avg_lng,type,public transportation
3rd & Elm St NW,48826,34936,13890,47544,34304,13240,38.91762255541909,-77.01597194933254,Work,Metro
3rd & G St SE,44983,33845,11138,44894,33175,11719,38.881187204035314,-77.00182670133285,Living,Metro
3rd & H St NE,66623,44090,22533,67897,45289,22608,38.900416600134136,-77.00196978938081,Entertainment,Metro
3rd & H St NW,44193,30467,13726,44583,31233,13350,38.899411491578974,-77.01527164552718,Entertainment,
3rd & M St NE,55269,36680,18589,58761,38336,20425,38.905470867389226,-77.00213448899083,Living,
3rd & M St SE,13747,11299,2448,17172,13800,3372,38.876829665435906,-77.00213519942858,Work,
3rd & M st SE,5186,3795,1391,7676,5104,2572,38.87682791717879,-77.00214397938655,Living,
3rd & N St NE,17250,11220,6030,17543,11691,5852,38.90707013282412,-77.00209846516145,Work,Metro
3rd & Tingey St SE,35988,21110,14878,41049,23283,17766,38.87500778931453,-77.00241163813565,Work,Bus
3rd & Underwood St NW,6188,4095,2093,5736,3851,1885,38.969014389766656,-77.01631313491411,Living,Metro
3rd St & Pennsylvania Ave SE,50890,28748,22142,49826,26471,23355,38.88737633420901,-77.00195809568763,Living,
3rd St & Riggs Rd NE,6411,3615,2796,6650,3710,2940,38.95744285845922,-77.00225677512711,Work,
41st St & Alabama Ave SE / Fort Davis Rec,158,82,76,129,66,63,38.87033708566034,-76.94527596922995,Work,
44th St & New Mexico Ave NW,1429,874,555,1329,815,514,38.9338960648808,-77.0862461628891,Work,
47th & Elm St,3396,1349,2047,2386,1049,1337,38.982442414583204,-77.09197980709158,Work,Bus
48th Pl & MacArthur Blvd NW,7134,3842,3292,7008,3759,3249,38.916981964101765,-77.09574459409399,Work,Bus
4th & C St SW,56778,24764,32014,61908,26036,35872,38.88637690180896,-77.01769238159554,Work,Metro
4th & College St NW,4441,2861,1580,4357,2741,1616,38.921224416150515,-77.01814824493712,Entertainment,Metro
4th & D St NW / Judiciary Square,17418,12186,5232,17726,12970,4756,38.895367575976934,-77.01610621604843,Living,
4th & E St SW,38560,20121,18439,40708,21088,19620,38.884113865390034,-77.01745591896831,Entertainment,Metro
4th & East Capitol St NE,45496,29184,16312,44964,27427,17537,38.88995656787269,-77.00035232972962,Living,
4th & Florida Ave NE,64068,40789,23279,64509,40980,23529,38.90731185336391,-77.00072335677895,Entertainment,
4th & G St SW,31475,21522,9953,32195,21540,10655,38.88111981959695,-77.01770166969432,Work,
4th & M St SE,38641,27717,10924,44931,30558,14373,38.8767539626908,-77.00072631711848,Work,
4th & M St SW,88123,58074,30049,91784,59839,31945,38.87675318118367,-77.01784469040437,Living,Metro
4th & O St SW,10805,8189,2616,10896,8314,2582,38.87297680782619,-77.01758388791964,Living,Metro
4th & W St NE,22306,14315,7991,21925,13992,7933,38.91906714673334,-77.0006519357466,Work,Metro
4th St & G St SW,15882,10453,5429,16728,11160,5568,38.88112207300453,-77.01765724673578,Entertainment,
4th St & K St NW,24571,16219,8352,24104,16051,8053,38.90240187150443,-77.01600018845794,Work,Bus
4th St & Madison Dr NW,120612,32019,88593,118804,37518,81286,38.890497588335194,-77.01724900246114,Work,
4th St & Mississippi Ave SE,1917,756,1161,1989,785,1204,38.835995527136305,-77.0009015351804,Work,
53rd & D St SE/C.W. Harris Elementary,858,257,601,609,150,459,38.88333673891666,-76.92530841666569,Living,Metro
55th & East Capitol St NE,66,45,21,65,54,11,38.88992745780051,-76.92277019377525,Entertainment,Bus
5th & F St NW,38110,24504,13606,40935,26556,14379,38.89723028542212,-77.01933882760177,Entertainment,
5th & K St NW,114324,82243,32081,115959,82720,33239,38.90304522842583,-77.01902975366932,Work,Bus
5th & Kennedy St NW,8929,5337,3592,8535,4787,3748,38.95655444496692,-77.0198338250268,Work,Metro
5th & Morse St NE,21558,13725,7833,22037,13887,8150,38.90728241987867,-76.99917142429888,Entertainment,Metro
5th St & Massachusetts Ave NW,74826,49342,25484,75855,48807,27048,38.90093038440331,-77.01867980784104,Work,Bus
6035 Warehouse,644,537,107,1655,754,901,38.9622851271089,-77.0106526305217,Entertainment,Bus
61st St & Banks Pl NE,1038,408,630,1019,363,656,38.891807478582194,-76.91357011208164,Living,Metro
6th & H St NE,86804,60747,26057,91162,62539,28623,38.89997390271782,-76.99835901585939,Entertainment,
6th & K St NE,32712,22887,9825,33191,23787,9404,38.90294651028752,-76.99840775491278,Entertainment,Bus
6th St & Indiana Ave NW,42299,26647,15652,44210,27022,17188,38.89457854511048,-77.01994386562377,Living,Bus
7th & E St SW,18829,10222,8607,19890,10586,9304,38.883455347465535,-77.02173717693569,Living,Metro
7th & F St NW / National Portrait Gallery,73104,42387,30717,77935,46367,31568,38.89729377631511,-77.02219969390272,Entertainment,Metro
7th & K St NE,3108,2157,951,3136,2200,936,38.90255928026311,-76.99573905992344,Entertainment,Metro
7th & K St NW,70474,45213,25261,74147,46477,27670,38.902668470885004,-77.02139788369101,Entertainment,Bus
7th & Monroe St NE,10853,6376,4477,10129,6127,4002,38.93223222073883,-76.99615102865934,Living,Bus
7th & R St NW / Shaw Library,48778,33059,15719,47729,32189,15540,38.9127192182845,-77.02219435718018,Entertainment,Bus
7th & S St NW,46907,33087,13820,43777,30520,13257,38.91417893739661,-77.02175386732642,Work,Metro
7th & T St NW,31132,20807,10325,31976,21102,10874,38.9155356949639,-77.02214081624112,Work,
7th St & Florida Ave NW,19916,13607,6309,19792,13137,6655,38.91613911571835,-77.02201737601828,Work,Bus
7th St & Massachusetts Ave NE,27853,19016,8837,24172,17873,6299,38.89222012273275,-76.99601712900409,Work,Bus
8th & D St NW,35000,19834,15166,40734,22340,18394,38.89484675798796,-77.02324156648702,Entertainment,
8th & East Capitol St NE,25745,17350,8395,25087,16838,8249,38.88998674630568,-76.99519607367594,Work,
8th & Eye St SE / Barracks Row,24238,15289,8949,24818,15585,9233,38.87920329830674,-76.99529745296869,Living,Metro
8th & F St NE,41156,31015,10141,40798,30724,10074,38.897273357001296,-76.99475094021645,Living,Bus
8th & H St NE,33198,23066,10132,35024,23313,11711,38.899928400925425,-76.9948962104111,Entertainment,
8th & H St NW,73765,44876,28889,81938,49073,32865,38.89970213214581,-77.02308365745846,Work,Bus
8th & K St NE,22344,15082,7262,22412,15488,6924,38.9027271207884,-76.99515209994622,Entertainment,Metro
8th & O St NW,101358,70342,31016,101102,69322,31780,38.90863939610236,-77.02277616949078,Work,Bus
8th & V St NW,41471,28022,13449,40881,27353,13528,38.917733991494906,-77.02268523610977,Entertainment,Bus
8th Rd & S Frederick St,1659,1420,239,1509,1264,245,38.85704804067683,-77.1163426574517,Entertainment,Metro
9th & G St NW,20376,12389,7987,22235,13879,8356,38.8981066506308,-77.02393290232109,Entertainment,
9th & Ingraham St NW,5755,3973,1782,5196,3506,1690,38.953687714117954,-77.02560628386189,Living,Bus
9th & N St NW ,8651,5672,2979,8180,5214,2966,38.9066354787298,-77.02389265359224,Entertainment,Bus
9th & Upshur St NW,26048,16979,9069,24434,16229,8205,38.94177398724477,-77.02510212387875,Work,Metro
9th St & Pennsylvania Ave NW,18950,9346,9604,24284,12184,12100,38.89427568315904,-77.02398002138193,Work,
Adams Mill & Columbia Rd NW,87878,58244,29634,77151,50238,26913,38.922891405737325,-77.04253392854277,Work,
Alabama & MLK Ave SE,1977,1036,941,1707,827,880,38.84322894535636,-76.99937885356422,Work,Metro
Alabama Ave & Stanton Rd SE / Shops at Park Village,1630,776,854,1314,679,635,38.84627340202805,-76.98185220205846,Living,
American University East Campus,13876,7551,6325,9193,4916,4277,38.93629491794533,-77.08712117081495,Work,Metro
Amherst Ave & Elkins St,1218,327,891,1235,312,923,39.04488596723292,-77.04778785659457,Living,Metro
