Unnamed: 0,stations,type,public transportation
415,Prince George's Plaza Metro,Entertainment,Bus
416,Washington Blvd & Walter Reed Dr ,Work,Metro
417,Wisconsin Ave & Ingomar St NW,Entertainment,Metro
418,Franklin St & S Washington St,Work,Bus
419,GMU/Fairfax Dr & Kenmore St,Work,Metro
420,S Clark St & 33rd St,Work,Bus
421,23rd St S & Hayes St,Work,Metro
422,Carroll & Ethan Allen Ave,Living,Bus
423,Columbia Pike & S Courthouse Rd,Living,Bus
424,9th & Ingraham St NW,Living,Bus
425,Georgia Ave & Emerson St NW,Work,
426,Potomac Ave & Main Line Blvd,Work,
427,Long Bridge Aquatic Center,Work,Bus
428,Columbia Pike & S Walter Reed Dr,Entertainment,Metro
429,Arlington Blvd & Fillmore St,Work,Metro
430,Rhode Island & Montana Ave NE,Work,
431,10th & Quincy St NE / Turkey Thicket Rec,Work,Metro
432,Duke St & John Carlyle St,Living,Bus
433,St Asaph & Pendleton St,Work,Metro
434,Rolfe St & 9th St S,Living,
435,Carroll & Westmoreland Ave,Living,Metro
436,Anacostia Metro,Work,Bus
437,Commerce St & Fayette St,Work,
438,Old Georgetown Rd & Southwick St,Work,
439,Fairfax Dr & N Taylor St,Living,Metro
440,Arlington Blvd & N Queen St,Living,Metro
441,3rd & M st SE,Living,
442,Ballenger Ave & Dulaney St,Living,
443,Kennebec St & 11th St N,Living,Metro
444,Norfolk Ave & Fairmont St,Entertainment,Bus
445,Mount Vernon Ave & Four Mile Run Park,Work,
446,Riverdale Park Town Center,Work,Bus
447,Washington Blvd & 7th St N,Entertainment,Bus
448,Silver Spring Metro / Colesville Rd & Wayne Ave,Work,
449,Mount Vernon Ave & Kennedy St,Work,Bus
450,Cordell & Norfolk Ave,Living,
451,Powhatan St & Bashford Ln,Entertainment,Metro
452,Clark St & 26th St S,Entertainment,
453,Fessenden St & Wisconsin Ave NW,Work,Bus
454,Barton St & 10th St N,Work,Metro
455,14th & Quincy St NW,Living,Metro
456,Wilson Blvd & N Illinois St ,Entertainment,
457,Baltimore Ave & Van Buren St / Riverdale Park Station,Living,Metro
458,15th & Harvard St NW,Entertainment,
459,East West Hwy & Blair Mill Rd,Living,
460,Georgia Ave and Fairmont St NW,Entertainment,Metro
461,Arlington Blvd & S George Mason Dr,Living,
462,N Veitch St & Key Blvd,Work,
463,Chillum Rd & Riggs Rd / Riggs Plaza,Entertainment,
464,Yuma St & Tenley Circle NW,Entertainment,Metro
465,31st & Water St NW,Living,Bus
466,4th & College St NW,Entertainment,Metro
467,Virginia Ave & C St NW,Entertainment,
468,Columbia Pike & S Orme St,Entertainment,Metro
469,Long Bridge Park / Long Bridge Dr & 6th St S,Work,Bus
470,18th St & Rhode Island Ave NE,Work,
471,Dunn Loring Metro,Living,Bus
472,Braddock Rd Metro North,Living,
473,Georgia Ave & Dahlia St NW,Work,Bus
474,Barcroft Community Center,Entertainment,Metro
475,Braddock Rd Metro,Living,Bus
476,Good Hope Rd & MLK Ave SE,Work,Metro
477,Baltimore Ave & Jefferson St,Work,Metro
478,Tanger Outlets,Work,Metro
479,Fenton St & New York Ave ,Living,
480,Langston Blvd & N Monroe St,Living,
481,Fenton St & Gist Ave,Work,Metro
482,First St & Fayette St,Work,Metro
483,WAU / Flower Ave & Division St,Entertainment,
484,Offutt Ln & Chevy Chase Dr,Living,Metro
485,Medical Center Metro ,Living,
486,10th St & Rhode Island Ave NE,Work,Bus
487,Henry St & Pendleton St,Living,
488,The Mall at Prince Georges,Entertainment,Metro
489,Fleet St & Waterfront St,Entertainment,Metro
490,Wilson Blvd. & N. Vermont St.,Living,Bus
491,Anacostia Roller Skating Pavillion,Living,Metro
492,Anacostia Roller Skating Pavilion,Entertainment,Bus
493,N Pershing Dr & N Wayne St,Entertainment,
494,14th St & Luzon Ave NW,Living,Bus
495,16th & K St NW/BLM Plaza,Entertainment,Bus
496,Commonwealth Ave & E Monroe Ave,Living,
497,Connecticut Ave & Ordway St NW / Cleveland Park Metro ,Work,Bus
498,Walter Reed Dr & 8th St S,Entertainment,
499,18th & Monroe St NE,Work,Metro
500,Duke St & Strand (Robinson Terminal),Living,Bus
501,Langston Blvd & N Woodstock St,Living,Metro
502,Benning Rd & East Capitol St NE / Benning Rd Metro,Work,Bus
503,Madison St & N Henry St,Work,Metro
504,Utah St & 11th St N,Entertainment,Bus
505,Lee Hwy & N Scott St,Living,
506,47th & Elm St,Work,Bus
507,Montgomery Ave & Waverly St ,Living,Metro
508,Pershing Dr & Wayne St,Living,
509,N Roosevelt St & Roosevelt Blvd,Living,Metro
510,Wilson Blvd & N Vermont St,Living,Metro
511,13th St & Eastern Ave,Work,Bus
512,St. Elizabeths West Campus/DHS??,Work,Bus
513,East West Hwy & 16th St,Work,Metro
514,Columbia Pike & S Greenbrier St,Living,Bus
515,W&OD Trail & Langston Blvd,Entertainment,Metro
516,Woodglen Dr & Executive Blvd,Living,
517,18th St & Ingleside Ter NW,Living,
518,14th & Luzon St NW,Work,
519,7th & K St NE,Entertainment,Metro
520,Congress Heights Metro,Living,Metro
521,Arizona Ave & MacArthur Blvd NW,Entertainment,
522,Pershing Dr & N George Mason Dr,Living,
523,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,Work,Bus
524,S Randolph St & Campbell Ave,Entertainment,Bus
525,33rd St & Wisconsin Ave NW,Entertainment,Metro
526,Maple & Ritchie Ave,Living,
527,GMU / Fairfax Dr & Kenmore St,Entertainment,Metro
528,Minnesota Ave & R St SE,Living,Metro
529,Pennsylvania & Minnesota Ave SE,Entertainment,Bus
530,Oglethorpe St & 42nd Ave,Living,Metro
531,Perry & 35th St,Work,Bus
532,Four Mile Run Dr & S Walter Reed Dr,Living,
533,Wakefield High School,Entertainment,Metro
534,Sunset Hills Rd & Isaac Newton Square,Living,Metro
535,Broad Branch Rd & Northampton St NW,Work,Bus
536,King St & Peyton St,Living,Metro
537,Park Run & Onyx Dr,Work,Metro
538,Mount Vernon Ave & Bruce St,Entertainment,Bus
539,Wisconsin Ave & Upton St NW,Living,Bus
540,N Pershing Dr & N George Mason Dr,Living,
541,Troy St & 26th St S,Living,Bus
542,Wheaton Metro / Georgia Ave & Reedie Dr,Entertainment,
543,Columbia Pike & Monroe St,Work,
544,Queens Chapel & Hamilton St,Work,
545,Merrifield Cinema & Merrifield Town Center,Entertainment,Bus
546,N. Beauregard St. & Berkley St.,Work,Metro
547,1st & S Capitol St SE / Oxon Run Trail,Living,Bus
548,S Maple Ave & S Washington St,Living,Metro
549,39th St & Tunlaw Rd NW,Entertainment,Bus
550,Pleasant St & MLK Ave SE,Living,Bus
551,Norfolk & Rugby Ave,Living,Metro
552,Montgomery & East Ln,Work,Metro
553,Penrose Sq/Columbia Pike & S Barton St,Entertainment,Bus
554,Veterans Pl & Pershing Dr ,Living,Metro
555,W Columbia St & N Washington St,Entertainment,Bus
556,Four Mile Run Dr & S Shirlington Rd,Entertainment,Bus
557,Minnesota Ave Metro/DOES,Living,Bus
558,W Broad St & Little Falls St,Entertainment,Metro
559,Rhode Island Ave & 39th St / Brentwood Arts Exchange,Living,
560,Silver Spring Transit Center - Top Level,Living,Metro
561,Fern St & Army Navy Dr,Work,Bus
562,Commonwealth Ave & Oak St,Entertainment,Bus
563,S Troy St & 26th St S,Entertainment,Bus
564,Anacostia Library,Living,Metro
565,S Four Mile Run Dr & Walter Reed Dr,Work,
566,18th St & S Eads St,Entertainment,Metro
567,Potomac Yard Metro South,Work,
568,Massachusetts & Idaho Ave NW,Work,Metro
569,Columbia Pike & S Scott St/12th St S,Entertainment,Bus
570,N Oak St & W Broad St,Entertainment,Metro
571,New Hampshire Ave & East-West Hwy,Work,Metro
572,16th & Q St SE / Anacostia HS,Entertainment,
573,Mandeville Ln & Stovall St,Living,Metro
574,Westover Library / Washington Blvd & N McKinley Rd,Entertainment,
575,Holmes Run Pkwy & N Pickett St,Work,Metro
576,Army Navy Dr & S Nash St,Living,
577,Branch & Pennsylvania Ave SE,Entertainment,Metro
578,Citadel Ave & McGrath Blvd,Entertainment,Metro
579,Eisenhower Ave & Ike Dr,Living,Metro
580,Columbia Pike & S George Mason Dr,Entertainment,Metro
581,Army Navy Dr & Fern St,Living,Bus
582,Falls Church City Hall / Park Ave & Little Falls St,Entertainment,
583,Sligo Ave & Carroll Ln,Entertainment,
584,Twinbrook Metro,Work,Metro
585,McLean Metro,Work,Bus
586,Pennsylvania Ave & Park Ave,Entertainment,
587,Alabama & MLK Ave SE,Work,Metro
588,King Farm Blvd & Pleasant Dr,Entertainment,Metro
589,Reed & Edison,Living,Metro
590,Reston Town Center Metro North,Entertainment,Metro
591,N Pershing Dr & N Quebec St,Living,
592,16th St & North Carolina Ave NE,Living,
593,Good Hope Rd & 14th St SE,Entertainment,Metro
594,S George Mason & Four Mile Run Dr,Work,Bus
595,Connecticut Ave & Chevy Chase Lake Dr,Entertainment,Metro
596,4th St & Mississippi Ave SE,Work,
597,Anacostia Ave & East Capitol St NE,Entertainment,
