start_station_name,casual_count,member_count
River Rd & Landy Ln,5686,4597
Aurora Hills Cmty Ctr / 18th St & S Hayes St,2866,4574
Georgia Ave & Piney Branch Rd NW,2181,4506
17th & Upshur St NW,3779,4497
Madison St & Fairfax St,5480,4483
GMU/Fairfax Dr & Kenmore St,1443,4478
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,2901,4466
Crystal Dr & 27th St S,5273,4425
Bethesda Ave & Arlington Rd,7142,4337
17th St & New York Ave NW,5102,4261
George Mason Dr & Wilson Blvd,2207,4254
Washington-Liberty High School / N Stafford St & Generals Way,2181,4251
12th & Newton St NE,2604,4161
Glebe Rd & 11th St N,2283,4128
3rd & Underwood St NW,2093,4095
Mount Vernon Ave & E Nelson Ave,1995,4088
23rd St S & Hayes St,1762,4067
Monroe Ave & Leslie Ave,2409,4058
Commonwealth and Reed,2431,4049
Wisconsin Ave & Ingomar St NW,1908,4030
Rhodes St & 16th St N,2475,4023
Langston Blvd & N Cleveland St,2881,4012
Georgia Ave & Kennedy St NW,2225,3996
N Quincy St & Glebe Rd,2658,3988
9th & Ingraham St NW,1782,3973
Kansas Ave & Longfellow St NW,2214,3891
West Hyattsville Metro,5477,3874
Arlington Blvd & Fillmore St,1770,3865
Potomac Ave & 35th St S,3642,3864
48th Pl & MacArthur Blvd NW,3292,3842
Potomac Greens Dr & Slaters Ln,2297,3842
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,4390,3799
3rd & M st SE,1391,3795
King St & N Pitt St,3295,3740
Carroll & Ethan Allen Ave,2045,3740
Carroll & Westmoreland Ave,1693,3736
Battery Ln & Trolley Trail,3717,3691
S Arlington Mill Dr & Campbell Ave,5776,3669
National Airport,3423,3651
3rd St & Riggs Rd NE,2796,3615
10th & Quincy St NE / Turkey Thicket Rec,2031,3570
Washington Blvd & Walter Reed Dr ,2429,3562
Columbia Pike & S Walter Reed Dr,2094,3556
Friendship Blvd & Willard Ave,3301,3518
Fairfax Dr & N Taylor St,1778,3509
King St Metro South,3203,3496
19th & E Street NW,3272,3453
Fenton St & Ellsworth Dr ,3122,3428
Georgia Ave & Emerson St NW,2338,3412
28th St & S Meade St,3075,3357
15th & Harvard St NW,1370,3347
Anacostia Metro,2074,3331
Fessenden St & Wisconsin Ave NW,1572,3330
Mount Vernon Ave & E Del Ray Ave,2856,3324
Ballenger Ave & Dulaney St,1840,3320
Duke St & John Carlyle St,2262,3279
14th & Quincy St NW,1519,3276
Rolfe St & 9th St S,2173,3273
King St & Patrick St,3950,3264
Long Bridge Aquatic Center,2464,3243
Eisenhower Ave & Mill Race Ln,3231,3241
Yuma St & Tenley Circle NW,1306,3210
St Asaph & Pendleton St,2283,3183
Kennebec St & 11th St N,1978,3153
N Veitch St & Key Blvd,1377,3148
Wilson Blvd & N Illinois St ,1642,3128
S Clark St & 33rd St,2717,3128
Powhatan St & Bashford Ln,1807,3105
Saint Asaph St & Madison St,3067,3087
Arlington Blvd & N Queen St,2256,3019
Clark St & 26th St S,1896,3016
Washington Blvd & 7th St N,2025,3005
Royal St & Wilkes St,3494,3005
Potomac Ave & Main Line Blvd,2771,2966
Columbia Pike & S Courthouse Rd,2830,2946
4th & College St NW,1580,2861
Arlington Blvd & S George Mason Dr,1676,2853
N Pitt St & Montgomery St,3444,2826
Georgia Ave & Dahlia St NW,1503,2804
Barton St & 10th St N,2086,2797
Rhode Island & Montana Ave NE,2810,2792
Commerce St & Fayette St,2578,2778
Virginia Ave & C St NW,1684,2754
Georgia Ave and Fairmont St NW,1794,2740
Silver Spring Metro / Colesville Rd & Wayne Ave,2266,2706
Fenton St & New York Ave ,1461,2706
14th St & Luzon Ave NW,995,2704
Old Georgetown Rd & Southwick St,2644,2677
21st St & Constitution Ave NW,8217,2633
Cordell & Norfolk Ave,2311,2605
Braddock Rd Metro,1705,2573
Good Hope Rd & MLK Ave SE,1702,2545
18th St & Rhode Island Ave NE,1852,2539
Arlington National Cemetery,13638,2523
Braddock Rd Metro North,1808,2514
Long Bridge Park / Long Bridge Dr & 6th St S,1897,2507
Fenton St & Gist Ave,1625,2474
10th St & Rhode Island Ave NE,1472,2465
Mount Vernon Ave & Kennedy St,2514,2434
Norfolk Ave & Fairmont St,2687,2427
